"numéro";"taille de G0 (noeuds)";"taille de G0 (liens)";"RT expliqués par G0";"RT expliqués par un voisinage dans G0";"RT expliqués par Gf";"RT expliqués par un voisinage dans Gf"
67;68;154;86,67;80;33,33;33,33
1;36;149;76,92;76,92;69,23;38,46
123;27;36;50;75;0;75
100;106;483;77,55;71,43;14,29;22,45
119;45;111;85,71;71,43;42,86;42,86
110;225;2224;48;70;42;71,33
108;147;455;69,63;69,63;62,22;69,63
85;130;1318;59,79;68,04;46,39;59,79
15;34;98;77,78;66,67;33,33;22,22
38;96;674;66,67;66,67;57,89;54,39
63;42;58;33,33;66,67;0;0
92;101;152;17,54;66,67;0;1,75
18;81;106;52,73;65,45;63,64;83,64
45;235;1672;61,82;62,73;41,82;33,64
12;145;581;83,64;61,82;60;10,91
51;66;522;83,33;61,11;38,89;44,44
114;38;145;82,61;60,87;4,35;30,43
111;39;158;80;60;40;15
69;141;445;59,21;57,89;15,79;11,84
93;202;690;61,86;57,73;14,43;15,46
5;39;96;85,71;57,14;19,05;28,57
11;89;341;85,37;53,66;31,71;9,76
64;38;53;87,5;50;25;50
96;257;1803;58,62;50;45,69;31,9
98;42;96;57,14;50;0;35,71
88;185;886;60;45;9;16
89;578;3374;64,46;44,63;15,29;17,77
41;102;335;82,69;44,23;9,62;15,38
16;48;84;50;43,75;37,5;31,25
76;54;132;59,38;43,75;12,5;18,75
2;30;115;84,21;42,11;68,42;47,37
103;158;347;60,38;41,51;6,6;10,38
84;57;81;83,33;38,89;66,67;27,78
74;56;134;64,71;35,29;41,18;14,71
32;49;123;73,91;34,78;13,04;4,35
52;97;390;65,31;34,69;65,31;20,41
9;32;83;55,56;33,33;66,67;22,22
19;22;52;55,56;33,33;44,44;66,67
124;40;91;73,33;33,33;73,33;13,33
14;319;1159;61,54;32,48;31,62;23,93
117;61;150;68,75;31,25;18,75;12,5
40;56;234;69,23;30,77;7,69;30,77
48;93;313;58,82;29,41;68,63;21,57
61;28;49;100;28,57;42,86;0
59;25;107;90,91;27,27;18,18;9,09
3;30;90;78,95;26,32;63,16;10,53
83;109;237;81,4;25,58;37,21;6,98
17;27;44;25;25;25;0
42;23;19;100;25;100;0
68;99;185;60,71;25;14,29;0
101;44;59;66,67;25;25;16,67
75;43;80;44;24;0;12
90;49;124;42,86;23,81;14,29;9,52
49;42;133;100;23,53;88,24;17,65
7;196;1089;70,18;22,81;59,65;7,02
82;46;130;72,22;22,22;72,22;0
91;344;902;65,77;21,48;18,79;19,46
62;75;135;78,57;21,43;7,14;10,71
30;106;157;74,44;21,11;71,11;0
79;41;77;84;20;72;12
6;149;425;64,29;19,64;58,93;7,14
46;116;249;62,75;17,65;62,75;9,8
35;60;110;66,67;16,67;10;10
113;67;64;100;16,67;0;0
78;31;37;42,11;15,79;63,16;5,26
13;56;119;76,92;15,38;38,46;7,69
66;57;88;45,65;15,22;0;6,52
47;55;86;81,82;15,15;78,79;18,18
44;31;56;64,29;14,29;64,29;14,29
58;75;264;80,95;14,29;76,19;7,14
102;34;94;92,86;14,29;0;7,14
10;52;66;51,22;12,2;95,12;7,32
4;37;69;84;12;20;12
50;40;54;100;11,76;82,35;0
36;213;263;54,95;11,71;4,5;2,7
22;72;88;72,73;11,36;77,27;4,55
95;87;465;77,78;11,11;44,44;11,11
56;93;132;57,14;10,71;67,86;7,14
57;33;38;63,16;10,53;68,42;10,53
53;50;86;68,97;10,34;86,21;0
99;134;344;82;10;12;8
94;75;136;78,13;9,38;6,25;6,25
31;60;82;84,44;8,89;84,44;2,22
34;50;82;65,22;8,7;17,39;0
54;61;54;57,69;7,69;80,77;3,85
24;82;141;90;7,5;77,5;0
77;19;20;53,33;6,67;0;0
81;23;31;66,67;6,67;80;0
112;42;69;86,67;6,67;13,33;0
72;47;55;64,52;6,45;0;0
28;31;48;75;6,25;68,75;0
8;52;121;72,22;5,56;72,22;0
29;32;36;77,78;5,56;88,89;0
109;23;31;77,78;5,56;83,33;5,56
21;64;97;82,5;5;82,5;0
43;58;100;95;5;70;5
106;26;32;60;5;75;0
26;50;59;92;4;88;0
55;94;107;64;4;84;0
80;35;46;56;4;88;4
25;52;108;80;3,33;83,33;3,33
87;57;64;81,82;3,03;0;0
107;44;64;86,49;2,7;83,78;2,7
23;101;136;65;2,5;77,5;0
20;38;29;59,26;0;66,67;0
27;38;41;78,95;0;84,21;0
33;34;56;80;0;0;0
37;32;25;63,64;0;0;0
39;57;109;88;0;0;4
60;30;36;100;0;0;0
65;37;39;70,59;0;0;0
70;22;20;100;0;0;0
71;27;42;75;0;0;0
73;101;182;75;0;75;0
86;59;76;72;0;88;0
97;28;15;18,75;0;0;0
104;41;51;77,78;0;86,11;0
105;35;49;87,5;0;84,38;0
115;53;20;100;0;100;0
116;140;139;53,85;0;23,08;7,69
118;28;33;66,67;0;33,33;0
120;27;26;100;0;0;0
121;37;19;100;0;0;0
122;22;10;0;0;0;0
