graph | nb liens dans g0 | nb liens dans gf | nb liens dans intersection | intersection/g0      | intersection/gf
001   | 149              | 81               | 50                         | 0.33557046979865773  | 0.6172839506172839
002   | 115              | 89               | 52                         | 0.45217391304347826  | 0.5842696629213483
003   | 90               | 52               | 27                         | 0.3                  | 0.5192307692307693
004   | 69               | 14               | 10                         | 0.14492753623188406  | 0.7142857142857143
005   | 96               | 14               | 13                         | 0.13541666666666666  | 0.9285714285714286
006   | 425              | 259              | 108                        | 0.2541176470588235   | 0.416988416988417
007   | 1089             | 722              | 344                        | 0.31588613406795224  | 0.47645429362880887
008   | 121              | 66               | 44                         | 0.36363636363636365  | 0.6666666666666666
009   | 83               | 41               | 25                         | 0.30120481927710846  | 0.6097560975609756
010   | 66               | 59               | 28                         | 0.42424242424242425  | 0.4745762711864407
011   | 341              | 81               | 50                         | 0.1466275659824047   | 0.6172839506172839
012   | 581              | 120              | 95                         | 0.16351118760757316  | 0.7916666666666666
013   | 119              | 30               | 23                         | 0.19327731092436976  | 0.7666666666666667
014   | 1159             | 323              | 212                        | 0.182916307161346    | 0.6563467492260062
015   | 98               | 35               | 16                         | 0.16326530612244897  | 0.45714285714285713
016   | 84               | 34               | 21                         | 0.25                 | 0.6176470588235294
017   | 44               | 19               | 13                         | 0.29545454545454547  | 0.6842105263157895
018   | 106              | 66               | 42                         | 0.39622641509433965  | 0.6363636363636364
019   | 52               | 24               | 16                         | 0.3076923076923077   | 0.6666666666666666
020   | 29               | 22               | 15                         | 0.5172413793103449   | 0.6818181818181818
021   | 97               | 46               | 39                         | 0.4020618556701031   | 0.8478260869565217
022   | 88               | 52               | 40                         | 0.45454545454545453  | 0.7692307692307693
023   | 136              | 76               | 51                         | 0.375                | 0.6710526315789473
024   | 141              | 70               | 59                         | 0.41843971631205673  | 0.8428571428571429
025   | 108              | 45               | 34                         | 0.3148148148148148   | 0.7555555555555555
026   | 59               | 32               | 25                         | 0.423728813559322    | 0.78125
027   | 41               | 24               | 20                         | 0.4878048780487805   | 0.8333333333333334
028   | 48               | 25               | 14                         | 0.2916666666666667   | 0.56
029   | 36               | 19               | 14                         | 0.3888888888888889   | 0.7368421052631579
030   | 157              | 71               | 56                         | 0.35668789808917195  | 0.7887323943661971
031   | 82               | 49               | 40                         | 0.4878048780487805   | 0.8163265306122449
032   | 123              | 27               | 22                         | 0.17886178861788618  | 0.8148148148148148
033   | 56               | 4                | 2                          | 0.03571428571428571  | 0.5
034   | 82               | 15               | 11                         | 0.13414634146341464  | 0.7333333333333333
035   | 110              | 33               | 18                         | 0.16363636363636364  | 0.5454545454545454
036   | 263              | 25               | 14                         | 0.053231939163498096 | 0.56
037   | 25               | 2                | 0                          | 0.0                  | 0.0
038   | 674              | 242              | 172                        | 0.2551928783382789   | 0.7107438016528925
039   | 109              | 15               | 6                          | 0.05504587155963303  | 0.4
040   | 234              | 64               | 22                         | 0.09401709401709402  | 0.34375
041   | 335              | 55               | 30                         | 0.08955223880597014  | 0.5454545454545454
042   | 19               | 6                | 6                          | 0.3157894736842105   | 1.0
043   | 100              | 52               | 35                         | 0.35                 | 0.6730769230769231
044   | 56               | 28               | 18                         | 0.32142857142857145  | 0.6428571428571429
045   | 1672             | 679              | 386                        | 0.23086124401913877  | 0.5684830633284241
046   | 249              | 149              | 89                         | 0.357429718875502    | 0.5973154362416108
047   | 86               | 66               | 45                         | 0.5232558139534884   | 0.6818181818181818
048   | 313              | 167              | 90                         | 0.28753993610223644  | 0.5389221556886228
049   | 133              | 64               | 46                         | 0.3458646616541353   | 0.71875
050   | 54               | 32               | 24                         | 0.4444444444444444   | 0.75
051   | 522              | 281              | 174                        | 0.3333333333333333   | 0.6192170818505338
052   | 390              | 245              | 106                        | 0.2717948717948718   | 0.4326530612244898
053   | 86               | 45               | 27                         | 0.313953488372093    | 0.6
054   | 54               | 39               | 20                         | 0.37037037037037035  | 0.5128205128205128
055   | 107              | 69               | 40                         | 0.37383177570093457  | 0.5797101449275363
056   | 132              | 63               | 37                         | 0.2803030303030303   | 0.5873015873015873
057   | 38               | 24               | 13                         | 0.34210526315789475  | 0.5416666666666666
058   | 264              | 102              | 78                         | 0.29545454545454547  | 0.7647058823529411
059   | 107              | 33               | 24                         | 0.22429906542056074  | 0.7272727272727273
060   | 36               | 0                | 0                          | 0.0                  | NaN
061   | 49               | 5                | 4                          | 0.08163265306122448  | 0.8
062   | 135              | 24               | 9                          | 0.06666666666666667  | 0.375
063   | 58               | 0                | 0                          | 0.0                  | NaN
064   | 53               | 25               | 5                          | 0.09433962264150944  | 0.2
065   | 39               | 5                | 0                          | 0.0                  | 0.0
066   | 88               | 8                | 8                          | 0.09090909090909091  | 1.0
067   | 154              | 30               | 21                         | 0.13636363636363635  | 0.7
068   | 185              | 15               | 13                         | 0.07027027027027027  | 0.8666666666666667
069   | 445              | 54               | 31                         | 0.0696629213483146   | 0.5740740740740741
070   | 20               | 1                | 1                          | 0.05                 | 1.0
071   | 42               | 2                | 2                          | 0.047619047619047616 | 1.0
072   | 55               | 1                | 0                          | 0.0                  | 0.0
073   | 182              | 113              | 53                         | 0.29120879120879123  | 0.4690265486725664
074   | 134              | 49               | 35                         | 0.26119402985074625  | 0.7142857142857143
075   | 80               | 20               | 9                          | 0.1125               | 0.45
076   | 132              | 21               | 9                          | 0.06818181818181818  | 0.42857142857142855
077   | 20               | 1                | 1                          | 0.05                 | 1.0
078   | 37               | 25               | 15                         | 0.40540540540540543  | 0.6
079   | 77               | 37               | 30                         | 0.38961038961038963  | 0.8108108108108109
080   | 46               | 32               | 21                         | 0.45652173913043476  | 0.65625
081   | 31               | 18               | 13                         | 0.41935483870967744  | 0.7222222222222222
082   | 130              | 47               | 37                         | 0.2846153846153846   | 0.7872340425531915
083   | 237              | 79               | 51                         | 0.21518987341772153  | 0.6455696202531646
084   | 81               | 37               | 18                         | 0.2222222222222222   | 0.4864864864864865
085   | 1318             | 883              | 429                        | 0.3254931714719272   | 0.48584371460928655
086   | 76               | 52               | 37                         | 0.4868421052631579   | 0.7115384615384616
087   | 64               | 5                | 3                          | 0.046875             | 0.6
088   | 886              | 213              | 98                         | 0.11060948081264109  | 0.460093896713615
089   | 3374             | 979              | 526                        | 0.15589804386484885  | 0.5372829417773238
090   | 124              | 15               | 12                         | 0.0967741935483871   | 0.8
091   | 902              | 400              | 204                        | 0.2261640798226164   | 0.51
092   | 152              | 7                | 0                          | 0.0                  | 0.0
