"numéro";"taille de G0 (noeuds)";"taille de G0 (liens)";"G0 & GRT (recouvrement GRT (liens))";"Gf & GRT (recouvrement GRT (liens))";"G0 & Gf & GRT (recouvrement GRT (liens))";"Gf & GRT & ~G0 (recouvrement GRT (liens))";Domaine de l'URL;Sujet;URL;"RT expliqués par G0";"RT expliqués par un voisinage dans G0";"RT expliqués par Gf";"RT expliqués par un voisinage dans Gf"
001;36;149;76,92;69,23;65,38;3,85;Parti-socialiste.fr;Politic;http://www.parti-socialiste.fr/articles/retrouvez-les-grands-moments-de-francois-hollande-dans-parole-de-candidat;76,92;19,23;0,0;0,0
002;30;115;84,21;68,42;63,16;5,26;Parti-socialiste.fr;Politic;http://www.parti-socialiste.fr/articles/decryptage-le-veritable-projet-du-front-national;84,21;10,53;5,26;0,0
003;30;90;78,95;63,16;63,16;0,0;Feedburner.com;Web/it;http://feeds.feedburner.com/~r/hollandeactu/~3/-CUrduBCwkk/les-jeunes-socialistes-nicolas-sarkozy-nous-met-sur-la-paille?utm_source=feedburner&utm_medium=twitter&utm_campaign=hollandeactu;78,95;5,26;0,0;0,0
004;37;69;84,0;20,0;12,0;8,0;Latribune.fr;Politic;http://www.latribune.fr/actualites/economie/international/20120225trib000684907/la-montee-de-la-dette-americaine-est-une-catastrophe-annoncee-pour-le-monde-entier.html;84,0;4,0;4,0;0,0
005;39;96;85,71;19,05;19,05;0,0;Latribune.fr;Web/it;http://www.latribune.fr/actualites/economie/union-europeenne/20120225trib000684905/le-ministre-de-l-interieur-allemand-veut-expluser-les-grecs-de-l-euro.html#.T0vPnGhD_YA.twitter;85,71;9,52;0,0;0,0
006;149;425;64,29;58,93;41,07;17,86;Frenchweb.fr;Web/it;http://frenchweb.fr/infographie-que-se-passe-t-il-chaque-minute-sur-les-reseaux-sociaux-60883/;64,29;7,14;17,86;0,0
007;196;1089;70,18;59,65;49,12;10,53;Google.com;Web/it;http://feedproxy.google.com/~r/Mashablefrance/~3/42DyGitUumc/;70,18;8,77;8,77;0,0
008;52;121;72,22;72,22;55,56;16,66;Nouvelobs.com;Television;http://leplus.nouvelobs.com/contribution/333270-petit-journal-de-canal-et-si-on-arretait-le-bal-des-faux-culs.html;72,22;5,56;16,67;0,0
009;32;83;55,56;66,67;22,22;44,45;Nouvelobs.com;Cinema;http://leplus.nouvelobs.com/contribution/335930-oscars-2012-jean-dujardin-peau-flasque-standing-ovation.html;55,56;11,11;33,33;0,0
010;52;66;51,22;95,12;48,78;46,34;Metrofrance.com;Politic;http://www.metrofrance.com/info/henri-guaino-hors-de-ses-gonds-si-je-vous-traite-de-sale-con-ca-va-vous-plaire/mlby!5tRHd6vy5YNqE/;51,22;2,44;43,9;0,0
011;89;341;85,37;31,71;31,71;0,0;Numerama.com;Cinema;http://www.numerama.com/magazine/21821-pour-nicolas-sarkozy-the-artist-legitime-hadopi.html;85,37;9,76;0,0;0,0
012;145;581;83,64;60,0;58,18;1,82;Numerama.com;Web/it;http://www.numerama.com/magazine/21823-sur-youtube-les-chants-d-oiseaux-sont-proteges-par-le-droit-d-auteur.html;83,64;7,27;0,0;0,0
013;56;119;76,92;38,46;38,46;0,0;Numerama.com;Web/it;http://www.numerama.com/magazine/21820-wikileaks-publie-des-millions-de-courriels-de-stratfor-grace-a-anonymous.html;76,92;7,69;0,0;0,0
014;319;1159;61,54;31,62;26,5;5,12;Numerama.com;Cinema;http://www.numerama.com/magazine/21834-pour-mitterrand-c-est-hadopi-qui-est-recompense-pas-the-artist.html;61,54;14,53;5,13;5,98
015;34;98;77,78;33,33;33,33;0,0;Atlantico.fr;Politic;http://www.atlantico.fr/decryptage/rosa-mafia-francois-hollande-socialistes-epine-pied-campagne-bertrand-janicaud-296701.html;77,78;22,22;0,0;0,0
016;48;84;50,0;37,5;18,75;18,75;Atlantico.fr;Politic;http://www.atlantico.fr/decryptage/afrique-famine-guerre-creativite-politique-innovation-david-keller-296256.html;50,0;25,0;12,5;0,0
017;27;44;25,0;25,0;0,0;25,0;Atlantico.fr;International;http://www.atlantico.fr/decryptage/hamza-kashgari-saoudien-condamne-mort-pour-tweet-mahomet-musulmans-moderes-moh-christophe-bilek-296055.html;25,0;25,0;25,0;0,0
018;81;106;52,73;63,64;41,82;21,82;Xiti.com;Unknow;http://logi4.xiti.com/go.url?xts=290428&xtor=AL-125&url=http://www.20minutes.fr/article/886941/20min;52,73;16,36;20,0;5,45
019;22;52;55,56;44,44;44,44;0,0;20minutes.fr;Web/it;http://www.20minutes.fr/article/887285/Sport-XV-de-France-Pas-de-rupture-des-ligaments-croises-pour-Maxime-Medard.php?utm_source=twitterfeed&utm_medium=twitter;55,56;22,22;0,0;22,22
020;38;29;59,26;66,67;51,85;14,82;Xiti.com;Unknow;http://logi4.xiti.com/go.url?xts=290428&xtor=AL-125&url=http://www.20minutes.fr/article/886665/20min;59,26;0,0;14,81;0,0
021;64;97;82,5;82,5;75,0;7,5;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Le-psg-est-revenu-de-l-enfer/266258;82,5;5,0;7,5;0,0
022;72;88;72,73;77,27;61,36;15,91;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Arsenal-c-est-de-la-folie/266385;72,73;4,55;15,91;0,0
023;101;136;65,0;77,5;52,5;25,0;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Aulas-descend-l-arbitrage/266261;65,0;0,0;25,0;0,0
024;82;141;90,0;77,5;70,0;7,5;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Al-jazira-a-12-ou-13-euros/266427;90,0;0,0;7,5;0,0
025;52;108;80,0;83,33;66,67;16,66;Lequipe.fr;Sport;http://www.lequipe.fr/Rugby/Actualites/Poitrenaud-remplace-medard/266532;80,0;0,0;16,67;3,33
026;50;59;92,0;88,0;80,0;8,0;Lequipe.fr;Cinema;http://www.lequipe.fr/Football/Actualites/Longue-vie-a-the-artist/266527;92,0;0,0;8,0;0,0
027;38;41;78,95;84,21;68,42;15,79;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/L-om-a-tout-tente-en-vain/266439;78,95;0,0;15,79;0,0
028;31;48;75,0;68,75;56,25;12,5;Lequipe.fr;Sport;http://www.lequipe.fr/Rugby/Actualites/Medard-vers-un-forfait/266435;75,0;6,25;12,5;0,0
029;32;36;77,78;88,89;72,22;16,67;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Caen-s-est-fait-entuber/266257;77,78;0,0;16,67;0,0
030;106;157;74,44;71,11;58,89;12,22;Lequipe.fr;Sport;http://www.lequipe.fr/Football/Actualites/Giggs-titulaire-pour-sa-900e/266337;74,44;12,22;12,22;0,0
031;60;82;84,44;84,44;75,56;8,88;Lequipe.fr;Sport;http://www.lequipe.fr/Basket/Actualites/Parker-roi-des-meneurs/266296;84,44;2,22;8,89;0,0
032;49;123;73,91;13,04;13,04;0,0;Slate.fr;Cinema;http://www.slate.fr/story/50615/oscars-enveloppes-palmares-vote;73,91;17,39;0,0;0,0
033;34;56;80,0;0,0;0,0;0,0;Slate.fr;Web/it;http://www.slate.fr/story/50285/rendez-nous-le-stylet;80,0;0,0;0,0;0,0
034;50;82;65,22;17,39;17,39;0,0;Slate.fr;Misc;http://www.slate.fr/story/50517/animaux-hibernent-toilettes;65,22;8,7;0,0;0,0
035;60;110;66,67;10,0;6,67;3,33;Slate.fr;Politic;http://www.slate.fr/france/50631/sarkozy-mort-hoax;66,67;6,67;0,0;0,0
036;213;263;54,95;4,5;2,7;1,8;Journaldugeek.com;Web/it;http://www.journaldugeek.com/2012/02/27/burger-king-le-retour-du-roi-en-france-prevu-pour-le-21-mars/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+LeJournalDuGeek+%28le+Journal+du+Geek%29;54,95;5,41;1,8;0,0
037;32;25;63,64;0,0;0,0;0,0;France24.com;Cinema;http://www.france24.com/fr/20120227-the-artist-jean-dujardin-triomphe-oscars-statuette-meilleur-film-acteur-hollywood-prix;63,64;0,0;0,0;0,0
038;96;674;66,67;57,89;45,61;12,28;Blogpersonalbranding.com;Web/it;http://www.blogpersonalbranding.com/2012/02/comment-faire-un-live-tweet-le-guide-des-astuces-pour-commenter-en-direct-live/;66,67;21,05;8,77;1,75
039;57;109;88,0;0,0;0,0;0,0;<unknow>;Politic;/election-presidentielle-2012/20120226.OBS2298/video-c-est-insupportable-a-la-fin-quand-guaino-s-emporte.html;88,0;0,0;0,0;0,0
040;56;234;69,23;7,69;7,69;0,0;Nouvelobs.com;Politic;http://tempsreel.nouvelobs.com/le-reveil-politique/20120227.OBS2344/le-reveil-politique-la-vraie-vie-de-nicolas-sarkozy.html;69,23;11,54;0,0;0,0
041;102;335;82,69;9,62;9,62;0,0;Nouvelobs.com;Web/it;http://rss.nouvelobs.com/c/32262/f/493634/s/1ceed22d/l/0Ltempsreel0Bnouvelobs0N0Cles0Eoff0Epolitiques0C20A120A2250BOBS22770Cinfo0Eobs0Efn0Eles0Evrais0Echiffres0Edes0Eparrainages0Bhtml/story01.htm?utm_source=twitterfeed&utm_medium=twitter;82,69;1,92;0,0;5,77
042;23;19;100,0;100,0;100,0;0,0;Nouvelobs.com;Cinema;http://obsession.nouvelobs.com/le-phenomene-jean-dujardin/20120227.OBS2328/oscars-la-classe-americaine-pour-jean-dujardin-et-the-artist.html;100,0;0,0;0,0;0,0
043;58;100;95,0;70,0;65,0;5,0;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392341-pour-gueant-le-fn-est-a-la-fois-nationaliste-et-socialiste;95,0;0,0;5,0;0,0
044;31;56;64,29;64,29;50,0;14,29;Liberation.fr;International;http://www.liberation.fr/monde/01012392483-l-amorce-d-une-solution-pour-evacuer-les-journalistes-blesses-a-homs;64,29;0,0;14,29;7,14
045;235;1672;61,82;41,82;30,91;10,91;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392240-henri-guaino-taisez-vous;61,82;21,82;9,09;2,73
046;116;249;62,75;62,75;50,98;11,77;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392392-jean-marie-le-pen-traite-melenchon-de-voyou-lui-propose-un-debat;62,75;9,8;11,76;3,92
047;55;86;81,82;78,79;66,67;12,12;Liberation.fr;Politic;http://www.liberation.fr/c/01012392023-c;81,82;0,0;12,12;0,0
048;93;313;58,82;68,63;45,1;23,53;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392326-le-modele-de-sarkozy-melange-de-berlusconi-et-poutine-camp-hollande;58,82;11,76;19,61;1,96
049;42;133;100,0;88,24;88,24;0,0;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392422-le-nouveau-centre-au-bord-de-l-explosion;100,0;0,0;0,0;0,0
