"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
1;36;149;76,92;69,23;65,38;3,85;"Parti-socialiste.fr";"Politic";"http://www.parti-socialiste.fr/articles/retrouvez-les-grands-moments-de-francois-hollande-dans-parole-de-candidat";64,46;55,37;15,29;38,43
2;30;115;84,21;68,42;63,16;5,26;"Parti-socialiste.fr";"Politic";"http://www.parti-socialiste.fr/articles/decryptage-le-veritable-projet-du-front-national";48;178,67;42;93,33
3;30;90;78,95;63,16;63,16;0;"Feedburner.com";"Web/it";"http://feeds.feedburner.com/~r/hollandeactu/~3/-CUrduBCwkk/les-jeunes-socialistes-nicolas-sarkozy-nous-met-sur-la-paille?utm_source=feedburner&utm_medium=twitter&utm_campaign=hollandeactu";58,62;48,28;45,69;35,34
4;37;69;84;20;12;8;"Latribune.fr";"Politic";"http://www.latribune.fr/actualites/economie/international/20120225trib000684907/la-montee-de-la-dette-americaine-est-une-catastrophe-annoncee-pour-le-monde-entier.html";61,82;101,82;41,82;57,27
5;39;96;85,71;19,05;19,05;0;"Latribune.fr";"Web/it";"http://www.latribune.fr/actualites/economie/union-europeenne/20120225trib000684905/le-ministre-de-l-interieur-allemand-veut-expluser-les-grecs-de-l-euro.html#.T0vPnGhD_YA.twitter";59,79;134,02;46,39;168,04
6;149;425;64,29;58,93;41,07;17,86;"Frenchweb.fr";"Web/it";"http://frenchweb.fr/infographie-que-se-passe-t-il-chaque-minute-sur-les-reseaux-sociaux-60883/";61,54;18,8;31,62;22,22
7;196;1089;70,18;59,65;49,12;10,53;"Google.com";"Web/it";"http://feedproxy.google.com/~r/Mashablefrance/~3/42DyGitUumc/";70,18;15,79;59,65;3,51
8;52;121;72,22;72,22;55,56;16,66;"Nouvelobs.com";"Television";"http://leplus.nouvelobs.com/contribution/333270-petit-journal-de-canal-et-si-on-arretait-le-bal-des-faux-culs.html";65,77;4,03;18,79;9,4
9;32;83;55,56;66,67;22,22;44,45;"Nouvelobs.com";"Cinema";"http://leplus.nouvelobs.com/contribution/335930-oscars-2012-jean-dujardin-peau-flasque-standing-ovation.html";60;70;9;26
10;52;66;51,22;95,12;48,78;46,34;"Metrofrance.com";"Politic";"http://www.metrofrance.com/info/henri-guaino-hors-de-ses-gonds-si-je-vous-traite-de-sale-con-ca-va-vous-plaire/mlby!5tRHd6vy5YNqE/";61,86;39,18;14,43;8,25
