"numero";"taille du graph (noeuds)";"taille du graph (liens)";"G0 & GRT (recouvrement GRT (liens))";"Gf & GRT (recouvrement GRT (liens))";"G0 & Gf & GRT (recouvrement GRT (liens))";"Gf & GRT & ~G0 (recouvrement GRT (liens))"
89;573;242;64,46;15,29;13,22;2,07
110;224;150;48;42;28,67;13,33
91;341;149;65,77;18,79;16,78;2,01
108;147;135;69,63;62,22;53,33;8,89
14;315;117;61,54;31,62;26,5;5,12
96;256;116;58,62;45,69;34,48;11,21
36;213;111;54,95;4,5;2,7;1,8
45;232;110;61,82;41,82;30,91;10,91
103;157;106;60,38;6,6;5,66;0,94
88;180;100;60;9;7;2
85;130;97;59,79;46,39;37,11;9,28
93;201;97;61,86;14,43;8,25;6,18
30;106;90;74,44;71,11;58,89;12,22
69;140;76;59,21;15,79;11,84;3,95
7;195;57;70,18;59,65;49,12;10,53
38;96;57;66,67;57,89;45,61;12,28
92;100;57;17,54;0;0;0
6;147;56;64,29;58,93;41,07;17,86
12;140;55;83,64;60;58,18;1,82
18;81;55;52,73;63,64;41,82;21,82
41;101;52;82,69;9,62;9,62;0
46;115;51;62,75;62,75;50,98;11,77
48;93;51;58,82;68,63;45,1;23,53
55;94;50;64;84;54;30
99;133;50;82;12;10;2
52;96;49;65,31;65,31;46,94;18,37
100;105;49;77,55;14,29;10,2;4,09
66;56;46;45,65;0;0;0
31;60;45;84,44;84,44;75,56;8,88
22;71;44;72,73;77,27;61,36;15,91
83;108;43;81,4;37,21;32,56;4,65
58;74;42;80,95;76,19;61,9;14,29
10;52;41;51,22;95,12;48,78;46,34
11;88;41;85,37;31,71;31,71;0
21;64;40;82,5;82,5;75;7,5
23;101;40;65;77,5;52,5;25
24;81;40;90;77,5;70;7,5
107;43;37;86,49;83,78;72,97;10,81
104;41;36;77,78;86,11;69,44;16,67
74;56;34;64,71;41,18;38,24;2,94
47;54;33;81,82;78,79;66,67;12,12
87;56;33;81,82;0;0;0
76;53;32;59,38;12,5;3,13;9,37
94;75;32;78,13;6,25;6,25;0
105;35;32;87,5;84,38;75;9,38
72;47;31;64,52;0;0;0
25;52;30;80;83,33;66,67;16,66
35;60;30;66,67;10;6,67;3,33
53;50;29;68,97;86,21;65,52;20,69
56;93;28;57,14;67,86;35,71;32,15
62;75;28;78,57;7,14;7,14;0
68;98;28;60,71;14,29;14,29;0
20;38;27;59,26;66,67;51,85;14,82
1;36;26;76,92;69,23;65,38;3,85
40;56;26;69,23;7,69;7,69;0
54;61;26;57,69;80,77;46,15;34,62
4;37;25;84;20;12;8
26;50;25;92;88;80;8
39;57;25;88;0;0;0
75;42;25;44;0;0;0
79;41;25;84;72;60;12
80;35;25;56;88;48;40
86;59;25;72;88;64;24
32;49;23;73,91;13,04;13,04;0
34;49;23;65,22;17,39;17,39;0
114;38;23;82,61;4,35;4,35;0
5;39;21;85,71;19,05;19,05;0
63;42;21;33,33;0;0;0
90;49;21;42,86;14,29;9,52;4,77
43;58;20;95;70;65;5
106;26;20;60;75;60;15
111;39;20;80;40;35;5
2;28;19;84,21;68,42;63,16;5,26
3;30;19;78,95;63,16;63,16;0
27;38;19;78,95;84,21;68,42;15,79
57;33;19;63,16;68,42;47,37;21,05
78;31;19;42,11;63,16;36,84;26,32
8;52;18;72,22;72,22;55,56;16,66
29;32;18;77,78;88,89;72,22;16,67
51;66;18;83,33;38,89;38,89;0
82;46;18;72,22;72,22;61,11;11,11
84;55;18;83,33;66,67;61,11;5,56
95;87;18;77,78;44,44;38,89;5,55
109;23;18;77,78;83,33;72,22;11,11
49;42;17;100;88,24;88,24;0
50;40;17;100;82,35;82,35;0
65;37;17;70,59;0;0;0
16;48;16;50;37,5;18,75;18,75
28;31;16;75;68,75;56,25;12,5
73;101;16;75;75;56,25;18,75
97;28;16;18,75;0;0;0
117;59;16;68,75;18,75;18,75;0
67;66;15;86,67;33,33;33,33;0
77;19;15;53,33;0;0;0
81;23;15;66,67;80;53,33;26,67
112;42;15;86,67;13,33;13,33;0
124;39;15;73,33;73,33;66,67;6,66
44;30;14;64,29;64,29;50;14,29
98;41;14;57,14;0;0;0
102;34;14;92,86;0;0;0
13;56;13;76,92;38,46;38,46;0
116;138;13;53,85;23,08;15,38;7,7
71;27;12;75;0;0;0
101;44;12;66,67;25;25;0
37;32;11;63,64;0;0;0
59;25;11;90,91;18,18;18,18;0
33;34;10;80;0;0;0
60;30;10;100;0;0;0
9;31;9;55,56;66,67;22,22;44,45
15;34;9;77,78;33,33;33,33;0
19;22;9;55,56;44,44;44,44;0
64;37;8;87,5;25;25;0
61;28;7;100;42,86;42,86;0
119;44;7;85,71;42,86;42,86;0
113;67;6;100;0;0;0
17;27;4;25;25;0;25
42;23;4;100;100;100;0
123;27;4;50;0;0;0
118;28;3;66,67;33,33;33,33;0
70;21;1;100;0;0;0
115;53;1;100;100;100;0
120;26;1;100;0;0;0
121;37;1;100;0;0;0
122;22;1;0;0;0;0
